epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.96023,0.6858,3.12295,1.09928,0.00664,0.87648,0.25102,0.21786,0.40902,2.95732,0.87721,0.00012861,0.00012861,0.00012861
2,9.7861,0.53875,2.77505,0.96928,0.00728,0.94737,0.39852,0.33346,0.46993,2.89089,0.90861,0.000268822,0.000268822,0.000268822
3,12.6052,0.58765,2.26587,0.95938,0.00862,0.98222,0.65801,0.57452,0.42832,2.77349,0.87008,0.000406205,0.000406205,0.000406205
4,15.3675,0.59514,1.80447,0.97228,0.01754,0.89136,0.65194,0.54397,0.49963,2.7111,0.92637,0.000540758,0.000540758,0.000540758
5,18.1621,0.61831,1.4091,1.01047,0.93936,0.46236,0.83718,0.70358,0.60049,2.02027,0.95335,0.000672482,0.000672482,0.000672482
6,20.8843,0.65164,1.22298,1.00981,1,0.66961,0.93905,0.79403,0.59778,1.9138,0.95411,0.000801376,0.000801376,0.000801376
7,23.4892,0.59845,1.1497,0.95944,0.92512,0.77329,0.92486,0.77635,0.57317,1.70522,0.9869,0.000927441,0.000927441,0.000927441
8,26.1443,0.60107,1.04428,0.95848,0.86188,0.67159,0.86487,0.73423,0.55872,1.83865,0.9347,0.00105068,0.00105068,0.00105068
9,28.7921,0.55157,1.12572,0.95134,0.82864,0.75386,0.91046,0.75084,0.62014,1.66837,0.99643,0.00117108,0.00117108,0.00117108
10,31.4399,0.62056,1.04707,1.03352,0.92513,0.77207,0.88455,0.74604,0.66872,1.56882,1.00671,0.00128866,0.00128866,0.00128866
11,34.0844,0.55798,0.94876,0.97024,0.88373,0.83314,0.91374,0.76818,0.59174,1.40014,0.98945,0.00128753,0.00128753,0.00128753
12,36.85,0.58729,0.93895,0.95685,0.8756,0.81722,0.93541,0.78776,0.61183,1.23013,0.96968,0.00127338,0.00127338,0.00127338
