epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.42454,0.31471,0.25641,0.86753,0.99236,1,0.995,0.95781,0.32524,0.20172,0.81922,0.00012861,0.00012861,0.00012861
2,7.26526,0.26365,0.22542,0.84885,0.98988,1,0.995,0.95215,0.34056,0.208,0.8253,0.000268822,0.000268822,0.000268822
3,9.93512,0.31683,0.26066,0.85981,0.98903,1,0.995,0.95271,0.33547,0.23082,0.82833,0.000406205,0.000406205,0.000406205
4,12.5503,0.30302,0.26812,0.84788,0.98647,1,0.99483,0.94988,0.34126,0.23554,0.82914,0.000540758,0.000540758,0.000540758
5,15.2046,0.29559,0.25209,0.86256,0.9932,0.99457,0.995,0.94527,0.34515,0.22151,0.82843,0.000672482,0.000672482,0.000672482
6,17.7877,0.31895,0.26224,0.86751,0.9915,1,0.995,0.94529,0.34475,0.22344,0.82996,0.000801376,0.000801376,0.000801376
7,20.3685,0.32063,0.26063,0.85284,0.99138,1,0.995,0.94341,0.35334,0.23548,0.83372,0.000927441,0.000927441,0.000927441
8,22.9261,0.32496,0.26683,0.85395,0.98273,1,0.99389,0.94037,0.35391,0.24488,0.83066,0.00105068,0.00105068,0.00105068
9,25.5433,0.31379,0.26882,0.85552,0.97414,1,0.995,0.91981,0.37377,0.27749,0.83805,0.00117108,0.00117108,0.00117108
10,28.072,0.32836,0.28318,0.86849,0.97175,1,0.995,0.91379,0.41153,0.30462,0.85624,0.00128866,0.00128866,0.00128866
11,30.5157,0.34238,0.27168,0.88031,0.95242,1,0.99051,0.92971,0.39139,0.30255,0.84786,0.00128753,0.00128753,0.00128753
12,33.0656,0.3523,0.29087,0.8768,0.98045,0.99099,0.99466,0.92847,0.40331,0.2958,0.87205,0.00127338,0.00127338,0.00127338
13,35.5928,0.34698,0.29316,0.87252,0.97797,0.98297,0.98982,0.91243,0.41803,0.27246,0.87119,0.00125923,0.00125923,0.00125923
14,38.1362,0.3586,0.29371,0.86496,0.98324,1,0.995,0.93568,0.37072,0.2406,0.8405,0.00124509,0.00124509,0.00124509
15,40.7342,0.33252,0.27992,0.85226,0.97797,0.99865,0.995,0.93659,0.3843,0.25429,0.84076,0.00123094,0.00123094,0.00123094
16,43.2882,0.35004,0.30117,0.86211,0.9759,0.95349,0.99201,0.93356,0.37513,0.30921,0.84133,0.00121679,0.00121679,0.00121679
17,45.7742,0.34556,0.29506,0.86518,0.95817,0.98551,0.99288,0.92195,0.37703,0.29031,0.83805,0.00120265,0.00120265,0.00120265
